sweep_type,parameter_value,scenario,latency_mean,throughput_mean,overhead_mean
censorship_fraction,0.05,attack,inf,0.0,0.0
censorship_fraction,0.05,recovered,170.07184177462815,5.911111111111111,0.8410624507327165
censorship_fraction,0.1,attack,inf,0.0,0.0
censorship_fraction,0.1,recovered,170.07184177462815,5.911111111111111,0.8410624507327165
censorship_fraction,0.15,attack,inf,0.0,0.0
censorship_fraction,0.15,recovered,170.07184177462815,5.911111111111111,0.8410624507327165
censorship_fraction,0.2,attack,657.8947368421052,0.12222222222222222,0.0
censorship_fraction,0.2,recovered,174.20989233720184,5.783333333333333,0.8410624507327165
censorship_fraction,0.25,attack,866.3076884129515,0.9833333333333334,0.0
censorship_fraction,0.25,recovered,582.5247718345312,2.422222222222222,0.3960021876156379
censorship_fraction,0.3,attack,349.0474492703562,3.066666666666667,0.0
censorship_fraction,0.3,recovered,312.8021729322006,3.283333333333333,0.08581366916521507
censorship_fraction,0.33,attack,241.10241798554537,4.366666666666667,0.0
censorship_fraction,0.33,recovered,241.10241798554537,4.366666666666667,0.0
sensitivity_b_tau,"B=1, Tau=0.5s",recovered,151.18526785459528,6.872222222222222,0.02263407293035921
sensitivity_b_tau,"B=1, Tau=1.0s",recovered,265.1512219020949,3.9555555555555557,0.007393127616904986
sensitivity_b_tau,"B=1, Tau=2.0s",recovered,312.8021729322006,3.283333333333333,0.002472468849248622
sensitivity_b_tau,"B=1, Tau=4.0s",recovered,349.0474492703562,3.066666666666667,0.0008642295393656554
sensitivity_b_tau,"B=3, Tau=0.5s",recovered,151.05706272639014,6.877777777777778,0.06786927942335347
sensitivity_b_tau,"B=3, Tau=1.0s",recovered,264.9729687826653,3.9611111111111112,0.022168446276092005
sensitivity_b_tau,"B=3, Tau=2.0s",recovered,312.8021729322006,3.283333333333333,0.007413733552549504
sensitivity_b_tau,"B=3, Tau=4.0s",recovered,349.0474492703562,3.066666666666667,0.0025926886180969665
sensitivity_b_tau,"B=5, Tau=0.5s",recovered,150.7849613567278,6.888888888888889,0.11306062003212555
sensitivity_b_tau,"B=5, Tau=1.0s",recovered,264.9729687826653,3.9611111111111112,0.036929200819693586
sensitivity_b_tau,"B=5, Tau=2.0s",recovered,312.8021729322006,3.283333333333333,0.012350106999897836
sensitivity_b_tau,"B=5, Tau=4.0s",recovered,349.0474492703562,3.066666666666667,0.004321147696828277
sensitivity_b_tau,"B=10, Tau=0.5s",recovered,150.7849613567278,6.888888888888889,0.22584747681624234
sensitivity_b_tau,"B=10, Tau=1.0s",recovered,264.9729687826653,3.9611111111111112,0.07376751044709912
sensitivity_b_tau,"B=10, Tau=2.0s",recovered,312.8021729322006,3.283333333333333,0.02466968906381097
sensitivity_b_tau,"B=10, Tau=4.0s",recovered,349.0474492703562,3.066666666666667,0.008642295393656555
